Customer_ID,Gender,Age,Country,Tenure_Months,Account_Type,Balance_RM,Products_Count,Has_CreditCard,Has_Loan,Credit_Score,Active_Member,Complaints_Count,Branch_Visits,Region,Salary_Range,Churn_Status,Churn_Month
C00090,Male,36,Malaysia,22,Prod 1,24689.21,1,1,1,624,1,0,2,Penang,3k-5k,1,Jun-2023
C00091,Male,42,Malaysia,18,Prod 1,189146.96,1,0,0,552,1,0,2,Sabah/Sarawak,5k-10k,0,
C00092,Male,58,Singapore,1,Prod 1,72590.12,1,1,1,702,0,0,0,Klang Valley,5k-10k,1,Dec-2023
C00093,Male,53,Singapore,35,Prod 4,9676.33,4,0,1,636,1,0,4,Johor,>10k,0,
C00094,Female,41,Singapore,5,Prod 2,9261.35,2,1,1,654,0,0,7,Klang Valley,<3k,1,Dec-2023
C00095,Female,42,Singapore,11,Prod 1,114250.8,1,0,1,701,0,0,0,Klang Valley,5k-10k,1,Dec-2023
C00096,Male,39,Malaysia,88,Prod 1,6508.83,1,0,1,671,1,2,0,Johor,3k-5k,1,Apr-2023
C00097,Female,50,Singapore,44,Prod 1,421.16,1,1,0,586,0,0,0,Johor,3k-5k,1,Jan-2023
C00098,Female,75,Malaysia,26,Prod 1,17872.35,1,1,1,479,1,0,0,Klang Valley,5k-10k,0,
C00099,Male,50,Malaysia,9,Prod 1,71579.63,1,1,1,554,1,2,0,Klang Valley,>10k,1,Aug-2023
C00100,Male,37,Malaysia,100,Prod 1,19374.81,1,1,0,631,0,0,1,Penang,5k-10k,0,
C00101,Female,42,Malaysia,106,Prod 1,50562.06,1,0,0,647,0,0,2,Klang Valley,3k-5k,0,
C00102,Female,25,Singapore,48,Prod 1,995.45,1,0,0,794,0,1,0,Klang Valley,<3k,1,Oct-2023
C00103,Female,32,Malaysia,109,Prod 1,155.14,1,1,1,850,1,0,1,Klang Valley,5k-10k,0,
C00104,Male,45,Singapore,40,Prod 1,80786.51,1,1,1,638,1,0,2,Johor,5k-10k,0,
C00105,Female,73,Indonesia,5,Prod 1,29029.58,1,1,0,693,1,0,2,Penang,3k-5k,0,
C00106,Male,50,Malaysia,0,Prod 1,4304.73,1,1,0,603,0,0,8,Penang,3k-5k,1,May-2023
C00107,Male,40,Malaysia,6,Prod 2,29415.05,2,0,1,582,1,2,5,Klang Valley,3k-5k,0,
C00108,Male,39,Singapore,64,Prod 1,10291.08,1,1,1,628,1,0,8,Klang Valley,3k-5k,0,
C00109,Male,55,Malaysia,20,Prod 2,33718.35,2,1,1,589,0,0,1,Johor,3k-5k,1,May-2023
C00110,Male,18,Malaysia,67,Prod 2,236052.62,2,1,0,574,1,0,2,Penang,<3k,0,
C00111,Male,22,Malaysia,46,Prod 1,33048.44,1,1,0,595,1,0,3,Penang,3k-5k,0,
C00112,Male,32,Malaysia,21,Prod 1,941.07,1,1,0,581,1,1,6,Klang Valley,5k-10k,1,Jun-2023
C00113,Female,42,Indonesia,11,Prod 2,30089.13,2,1,1,651,1,0,0,Penang,5k-10k,0,
C00114,Male,33,Indonesia,4,Prod 2,86535.22,2,1,0,664,1,0,2,Klang Valley,>10k,0,
C00115,Male,36,Singapore,88,Prod 1,31565.43,1,1,0,535,0,0,2,Klang Valley,>10k,0,
C00116,Male,67,Indonesia,93,Prod 3,219865.29,3,0,1,685,1,0,0,Penang,3k-5k,0,
C00117,Male,53,Indonesia,51,Prod 3,35153.52,3,1,1,641,0,0,0,Klang Valley,<3k,1,Dec-2023
C00118,Female,53,Malaysia,7,Prod 3,9399.38,3,1,0,629,1,0,1,Johor,3k-5k,0,
C00119,Male,53,Indonesia,14,Prod 1,48401.13,1,1,0,682,0,0,5,Klang Valley,5k-10k,1,Mar-2023
C00120,Female,35,Singapore,114,Prod 2,3837.29,2,1,1,800,0,1,4,Klang Valley,3k-5k,1,Oct-2023
C00121,Male,24,Indonesia,11,Prod 2,63092.32,2,1,0,635,0,2,0,Klang Valley,>10k,0,
C00122,Male,50,Indonesia,2,Prod 1,8958.83,1,1,0,556,1,0,1,Johor,5k-10k,1,Jun-2023
C00123,Female,57,Malaysia,53,Prod 2,22016.15,2,0,0,701,1,0,0,Penang,3k-5k,0,
C00124,Female,32,Malaysia,14,Prod 1,38476.76,1,0,0,704,0,1,0,Klang Valley,5k-10k,0,
C00125,Male,50,Malaysia,114,Prod 1,9659.48,1,1,1,676,1,2,0,Sabah/Sarawak,3k-5k,1,Jan-2024
C00126,Female,45,Malaysia,56,Prod 3,40597.1,3,0,0,647,1,3,4,Johor,5k-10k,0,
C00127,Male,35,Indonesia,115,Prod 3,37229.86,3,1,1,540,1,0,3,Klang Valley,<3k,0,
C00128,Female,82,Indonesia,88,Prod 3,11694.84,3,0,1,535,1,0,0,Penang,<3k,0,
C00129,Female,58,Malaysia,79,Prod 3,48151.13,3,0,0,611,1,0,4,Klang Valley,3k-5k,0,
C00130,Female,38,Singapore,95,Prod 1,48153.32,1,1,1,547,1,0,3,Klang Valley,3k-5k,0,
C00131,Female,36,Malaysia,61,Prod 2,16695.61,2,0,1,730,1,0,5,Sabah/Sarawak,5k-10k,0,
C00132,Male,59,Malaysia,0,Prod 3,8782.6,3,1,0,492,1,1,0,Johor,3k-5k,1,Oct-2023
C00133,Female,81,Malaysia,29,Prod 1,26576.31,1,1,0,643,1,1,0,Johor,>10k,1,May-2023
C00134,Male,37,Malaysia,11,Prod 2,82085.81,2,1,0,635,0,0,2,Klang Valley,3k-5k,1,Jan-2023
C00135,Male,53,Indonesia,35,Prod 1,98547.18,1,1,0,706,1,3,0,Penang,3k-5k,1,Mar-2023
C00136,Male,34,Malaysia,41,Prod 4,48828.91,4,1,1,721,1,0,4,Klang Valley,>10k,0,
C00137,Male,54,Singapore,6,Prod 2,43599.58,2,0,0,572,1,0,3,Klang Valley,3k-5k,1,Feb-2023
C00138,Female,39,Singapore,1,Prod 1,106776.74,1,1,1,778,1,0,0,Johor,5k-10k,0,
C00139,Female,40,Malaysia,6,Prod 2,70435.05,2,1,0,544,1,0,5,Sabah/Sarawak,>10k,1,Apr-2023
C00140,Female,62,Indonesia,99,Prod 2,8034.7,2,0,0,736,0,0,3,Johor,>10k,1,Feb-2023
C00141,Male,47,Indonesia,84,Prod 1,1284.74,1,1,1,709,0,3,0,Klang Valley,>10k,1,May-2023
C00142,Male,43,Malaysia,90,Prod 1,6836.32,1,1,0,468,1,0,2,Klang Valley,3k-5k,0,
C00143,Female,22,Malaysia,15,Prod 1,159358.9,1,0,0,543,1,1,3,Johor,3k-5k,0,
C00144,Male,39,Malaysia,11,Prod 1,60027.64,1,0,0,740,0,2,3,Penang,3k-5k,1,May-2023
C00145,Female,36,Malaysia,1,Prod 3,88271.9,3,1,0,666,0,0,0,Klang Valley,>10k,1,Jul-2023
C00146,Female,54,Malaysia,41,Prod 1,45794.75,1,1,0,656,1,0,1,Johor,3k-5k,0,
C00147,Female,58,Singapore,27,Prod 2,785.9,2,1,1,391,1,0,0,Johor,3k-5k,1,Nov-2023
C00148,Male,46,Singapore,96,Prod 1,865.0,1,1,0,632,1,0,1,Penang,3k-5k,0,
C00149,Female,65,Malaysia,72,Prod 1,1345.5,1,1,0,583,0,0,1,Penang,5k-10k,0,
C00150,Male,32,Malaysia,7,Prod 1,2609.47,1,0,0,525,1,0,1,Penang,5k-10k,0,
C00151,Female,59,Indonesia,119,Prod 1,28895.02,1,0,0,718,0,0,0,Klang Valley,5k-10k,1,Feb-2023
C00152,Male,74,Malaysia,86,Prod 1,9245.32,1,1,0,654,1,0,5,Penang,>10k,0,
C00153,Male,59,Malaysia,78,Prod 1,3546.29,1,1,1,564,1,0,2,Penang,>10k,1,Jan-2024
C00154,Male,45,Malaysia,10,Prod 3,25740.63,3,0,1,573,0,0,2,Penang,5k-10k,0,
C00155,Female,34,Indonesia,106,Prod 2,6241.8,2,1,1,660,0,1,0,Klang Valley,5k-10k,1,Feb-2023
C00156,Male,58,Malaysia,41,Prod 2,627.18,2,1,1,696,0,0,8,Penang,3k-5k,1,Jul-2023
C00157,Male,50,Singapore,17,Prod 1,63101.59,1,1,1,724,1,0,0,Klang Valley,5k-10k,0,
C00158,Male,44,Singapore,68,Prod 1,62252.74,1,1,1,703,1,0,0,Johor,3k-5k,1,Mar-2023
C00159,Female,35,Malaysia,10,Prod 1,7438.75,1,0,0,646,1,3,6,Klang Valley,5k-10k,0,
C00160,Female,22,Singapore,107,Prod 1,40.63,1,0,1,565,1,0,7,Sabah/Sarawak,5k-10k,0,
C00161,Female,55,Malaysia,99,Prod 1,11364.69,1,0,1,684,0,0,0,Klang Valley,5k-10k,1,Jan-2024
C00162,Female,42,Singapore,40,Prod 1,35977.47,1,1,0,551,1,0,5,Klang Valley,<3k,0,
C00163,Male,39,Singapore,9,Prod 2,9089.96,2,1,0,660,1,0,0,Penang,5k-10k,1,Feb-2024
C00164,Male,34,Singapore,44,Prod 2,3138.23,2,0,0,633,1,1,1,Klang Valley,<3k,1,Mar-2023
C00165,Female,55,Malaysia,7,Prod 4,203131.59,4,1,0,729,1,0,0,Johor,3k-5k,1,Oct-2023
C00166,Male,58,Indonesia,15,Prod 3,23206.83,3,1,0,722,0,0,1,Klang Valley,5k-10k,1,Jun-2023
C00167,Male,38,Malaysia,42,Prod 4,79417.36,4,0,0,708,0,0,7,Johor,5k-10k,0,
C00168,Male,35,Malaysia,1,Prod 1,8433.93,1,1,0,697,1,0,2,Johor,>10k,0,
C00169,Male,75,Malaysia,85,Prod 1,97042.96,1,1,0,640,1,0,0,Klang Valley,5k-10k,0,
C00170,Male,55,Singapore,9,Prod 1,101730.75,1,1,0,805,1,1,2,Klang Valley,5k-10k,1,Dec-2023
C00171,Male,80,Singapore,100,Prod 3,2734.63,3,1,0,709,1,2,0,Penang,3k-5k,0,
C00172,Male,20,Malaysia,1,Prod 1,8783.48,1,0,0,798,1,2,8,Johor,3k-5k,0,
C00173,Male,58,Singapore,50,Prod 1,241010.27,1,1,0,755,1,1,0,Penang,>10k,1,Apr-2023
C00174,Male,67,Malaysia,87,Prod 1,32198.74,1,1,0,608,0,0,2,Klang Valley,5k-10k,1,Mar-2023
C00175,Male,80,Singapore,11,Prod 1,44227.29,1,0,0,594,1,0,0,Penang,5k-10k,0,
C00176,Male,37,Malaysia,76,Prod 2,428.26,2,0,1,699,1,0,1,Klang Valley,3k-5k,0,
C00177,Female,33,Singapore,78,Prod 2,46938.53,2,1,0,530,1,0,4,Sabah/Sarawak,<3k,0,
C00178,Male,36,Malaysia,66,Prod 2,7699.46,2,1,1,614,0,1,3,Klang Valley,<3k,1,Jul-2023
C00179,Female,51,Indonesia,25,Prod 2,214602.44,2,1,1,581,0,0,1,Klang Valley,>10k,1,Mar-2023
C00180,Female,69,Malaysia,88,Prod 1,659.45,1,1,0,647,1,1,0,Klang Valley,>10k,0,
C00181,Female,50,Malaysia,64,Prod 1,6446.53,1,1,1,437,1,2,7,Penang,3k-5k,0,
C00182,Male,53,Malaysia,59,Prod 2,48281.9,2,1,0,850,1,0,3,Klang Valley,<3k,0,
C00183,Male,34,Indonesia,93,Prod 1,1455.52,1,1,1,720,0,0,7,Klang Valley,<3k,0,
C00184,Male,51,Indonesia,12,Prod 1,23758.12,1,1,0,753,1,0,4,Klang Valley,>10k,0,
C00185,Female,47,Malaysia,11,Prod 3,99660.75,3,1,0,665,1,0,1,Sabah/Sarawak,3k-5k,0,
C00186,Male,52,Singapore,28,Prod 1,16074.8,1,1,0,769,0,0,7,Penang,3k-5k,1,Dec-2023
C00187,Female,32,Indonesia,3,Prod 1,23847.72,1,1,1,706,0,0,0,Penang,5k-10k,1,Oct-2023
C00188,Female,33,Singapore,21,Prod 2,76717.54,2,1,1,732,1,0,0,Klang Valley,5k-10k,0,
C00189,Male,24,Singapore,31,Prod 1,225725.91,1,1,1,698,1,0,3,Sabah/Sarawak,>10k,0,
C00190,Male,42,Malaysia,44,Prod 1,144858.85,1,0,0,785,1,0,8,Johor,5k-10k,0,
C00191,Female,80,Malaysia,13,Prod 2,229964.59,2,1,1,580,0,0,6,Klang Valley,<3k,0,
C00192,Male,47,Indonesia,106,Prod 2,46417.66,2,1,0,806,1,0,1,Johor,3k-5k,0,
C00193,Male,57,Indonesia,16,Prod 1,785.63,1,1,0,633,1,0,0,Johor,>10k,1,May-2023
C00194,Female,41,Singapore,98,Prod 3,4068.82,3,1,0,569,1,0,1,Klang Valley,5k-10k,0,
C00195,Male,20,Malaysia,37,Prod 1,18388.15,1,0,0,693,1,0,5,Sabah/Sarawak,>10k,0,
C00196,Female,50,Malaysia,78,Prod 1,2909.21,1,1,0,539,1,1,5,Johor,>10k,1,Mar-2023
C00197,Female,55,Singapore,5,Prod 1,13240.32,1,0,1,601,1,0,0,Johor,5k-10k,1,Aug-2023
C00198,Female,38,Indonesia,52,Prod 1,86486.5,1,1,0,622,1,0,1,Penang,5k-10k,0,
C00199,Male,39,Indonesia,115,Prod 1,13369.32,1,1,1,628,0,0,1,Johor,3k-5k,0,
C00200,Male,44,Singapore,70,Prod 1,1887.11,1,1,1,747,1,0,0,Penang,5k-10k,0,
C00201,Male,44,Singapore,93,Prod 1,667.09,1,1,0,732,1,0,0,Sabah/Sarawak,5k-10k,0,
C00202,Male,65,Malaysia,14,Prod 2,25283.18,2,0,0,619,1,2,2,Johor,3k-5k,1,Nov-2023
C00203,Male,34,Malaysia,90,Prod 1,5153.02,1,0,0,694,1,0,2,Klang Valley,>10k,1,Jan-2024
C00204,Male,24,Indonesia,23,Prod 1,15563.95,1,1,0,850,1,0,3,Klang Valley,3k-5k,0,
C00205,Male,66,Singapore,43,Prod 2,11922.05,2,1,1,529,1,1,3,Klang Valley,5k-10k,0,
C00206,Male,36,Malaysia,9,Prod 1,207133.0,1,1,0,549,0,1,0,Klang Valley,>10k,1,Aug-2023
C00207,Female,36,Malaysia,43,Prod 1,288.83,1,1,0,654,1,0,3,Klang Valley,3k-5k,0,
C00208,Male,50,Singapore,47,Prod 1,107269.47,1,1,0,850,1,0,3,Klang Valley,5k-10k,0,
C00209,Male,42,Malaysia,63,Prod 1,5294.56,1,1,0,567,1,0,5,Johor,<3k,0,
C00210,Female,47,Malaysia,101,Prod 2,9867.1,2,1,0,591,1,0,4,Johor,5k-10k,1,Jul-2023
C00211,Female,46,Singapore,18,Prod 1,47647.91,1,0,1,705,1,0,2,Penang,3k-5k,0,
C00212,Male,36,Singapore,118,Prod 1,3449.55,1,1,0,744,0,0,2,Johor,5k-10k,1,Dec-2023
C00213,Male,44,Singapore,98,Prod 1,6729.75,1,0,1,650,0,0,1,Klang Valley,5k-10k,1,Oct-2023
C00214,Female,27,Malaysia,30,Prod 1,32144.49,1,0,1,672,1,3,9,Klang Valley,3k-5k,1,Mar-2024
C00215,Female,50,Singapore,11,Prod 1,3371.75,1,1,1,648,1,0,0,Klang Valley,5k-10k,1,May-2023
C00216,Female,37,Malaysia,3,Prod 1,8796.24,1,1,1,668,0,0,6,Klang Valley,3k-5k,0,
C00217,Female,41,Malaysia,11,Prod 2,60252.13,2,0,0,504,1,1,2,Sabah/Sarawak,>10k,1,Oct-2023
C00218,Male,33,Singapore,103,Prod 2,1920.16,2,1,1,667,0,0,6,Klang Valley,>10k,1,Jul-2023
C00219,Male,36,Singapore,17,Prod 2,984.62,2,0,0,653,1,0,0,Klang Valley,5k-10k,0,
C00220,Male,34,Indonesia,6,Prod 2,50847.39,2,1,0,686,1,1,9,Klang Valley,>10k,0,
C00221,Female,34,Singapore,1,Prod 1,689.92,1,1,0,595,1,0,1,Penang,5k-10k,0,
C00222,Female,55,Singapore,17,Prod 1,1891.47,1,1,0,700,1,0,2,Klang Valley,5k-10k,0,
C00223,Female,31,Malaysia,10,Prod 1,10754.5,1,1,1,731,1,0,8,Penang,3k-5k,0,
C00224,Male,68,Malaysia,5,Prod 1,19503.88,1,0,1,850,1,0,5,Klang Valley,3k-5k,0,
C00225,Male,50,Malaysia,113,Prod 1,3576.79,1,1,1,603,0,0,7,Klang Valley,3k-5k,0,
C00226,Male,49,Malaysia,14,Prod 4,1181.36,4,0,1,552,0,0,6,Johor,>10k,0,
C00227,Female,53,Indonesia,0,Prod 2,31916.05,2,1,1,667,1,0,3,Penang,5k-10k,1,Jul-2023
C00228,Female,39,Malaysia,112,Prod 1,16397.47,1,0,0,701,0,0,0,Klang Valley,>10k,0,
C00229,Male,54,Indonesia,57,Prod 1,120374.43,1,0,0,661,1,1,2,Johor,<3k,0,
C00230,Male,48,Singapore,4,Prod 2,61018.8,2,1,1,662,1,0,10,Klang Valley,5k-10k,0,
C00231,Male,58,Singapore,1,Prod 1,22968.77,1,0,1,594,0,0,3,Johor,3k-5k,1,Sep-2023
C00232,Male,57,Singapore,5,Prod 1,5379.12,1,0,1,494,1,0,9,Penang,5k-10k,1,Oct-2023
C00233,Female,42,Singapore,59,Prod 1,5922.16,1,1,1,774,1,3,5,Klang Valley,5k-10k,0,
C00234,Male,42,Malaysia,3,Prod 1,9756.28,1,1,1,811,0,3,8,Johor,3k-5k,1,May-2023
C00235,Female,50,Malaysia,55,Prod 3,7881.84,3,1,1,576,1,0,0,Klang Valley,5k-10k,0,
C00236,Female,56,Singapore,68,Prod 1,11517.72,1,1,0,589,1,0,4,Johor,5k-10k,0,
